#OTU ID	10781.Cage22.female.Qa7	10781.Cage50.female.Qa20	10781.Cage16.male.WT26	10781.Cage15.male.WT23	10781.Cage14.male.WT19	10781.Cage51.female.Qa26	10781.Cage14.male.WT17	10781.Cage6.male.WT14	10781.Cage55.male.Qa33	10781.Cage16.male.WT28	10781.Cage6.male.WT13	10781.Cage22.female.Qa9	10781.Cage16.male.WT30	10781.Cage23.female.Qa10	10781.Cage10.male.Qa2	10781.Cage58.female.WT20	10781.Cage1.female.WT1	10781.Cage4.female.WT9	10781.Cage57.female.WT14	10781.Cage2.male.WT5	10781.Cage4.female.WT7	10781.Cage20.male.Qa9	10781.Cage2.male.WT2	10781.Cage22.female.Qa8	10781.Cage6.male.WT12	10781.Cage16.male.WT29	10781.Cage6.male.WT15	10781.Cage14.male.WT16	10781.Cage24.male.Qa15	10781.Cage14.male.WT18	10781.Cage45.male.Qa22	10781.Cage21.male.Qa13	10781.Cage15.male.WT22	10781.Cage15.male.WT25	10781.Cage16.male.WT27	10781.Cage49.female.Qa15	10781.Cage50.female.Qa21	10781.Cage21.male.Qa14	10781.Cage11.male.Qa5	10781.Cage22.female.Qa6	10781.Cage56.female.Qa29	10781.Cage2.male.WT3	10781.Cage56.female.Qa31	10781.Cage20.male.Qa12	10781.Cage47.male.Qa26	10781.Cage4.female.WT6	10781.Cage2.male.WT4	10781.Cage57.female.WT15	10781.Cage4.female.WT8	10781.Cage10.male.Qa4	10781.Cage58.female.WT21	10781.Cage44.female.Qa11	10781.Cage10.male.Qa3	10781.Cage46.female.Qa14	10781.Cage9.female.Qa1	10781.Cage61.male.WT35	10781.Cage48.male.Qa28	10781.Cage14.male.WT20	10781.Cage20.male.Qa11	10781.Cage47.male.Qa25	10781.Cage4.female.WT10	10781.Cage50.female.Qa19	10781.Cage5.female.WT11	10781.Cage43.male.Qa19	10781.Cage57.female.WT16	10781.Cage59.female.WT24	10781.Cage52.male.Qa33	10781.Cage1.female.WT3	10781.Cage1.female.WT4	10781.Cage44.female.Qa12	10781.Cage59.female.WT23	10781.Cage9.female.Qa2	10781.Cage6.male.WT11	10781.Cage11.male.Qa8	10781.Cage49.female.Qa18	10781.Cage3.male.WT6	10781.Cage58.female.WT19	10781.Cage3.male.WT10	10781.Cage51.female.Qa24	10781.Cage24.male.Qa16	10781.Cage17.female.WT13	10781.Cage45.male.Qa21	10781.Cage54.female.Qa28	10781.Cage15.male.WT21	10781.Cage48.male.Qa30	10781.Cage3.male.WT8	10781.Cage49.female.Qa16	10781.Cage60.male.WT33	10781.Cage50.female.Qa22	10781.Cage11.male.Qa6	10781.Cage22.female.Qa5	10781.Cage9.female.Qa3	10781.Cage48.male.Qa27	10781.Cage59.female.WT22	10781.Cage44.female.Qa13	10781.Cage10.male.Qa1	10781.Cage1.female.WT5	10781.Cage1.female.WT2	10781.Cage57.female.WT17	10781.Cage52.male.Qa32	10781.Cage9.female.Qa4	10781.Cage43.male.Qa18	10781.Cage47.male.Qa24	10781.Cage47.male.Qa23	10781.Cage20.male.Qa10	10781.Cage2.male.WT1	10781.Cage48.male.Qa29	10781.Cage61.male.WT34	10781.Cage18.male.WT31	10781.Cage11.male.Qa7	10781.Cage49.female.Qa17	10781.Cage60.male.WT32	10781.Cage50.female.Qa23	10781.Cage53.female.Qa27	10781.Cage3.male.WT9	10781.Cage45.male.Qa20	10781.Cage24.male.Qa17	10781.Cage17.female.WT12	10781.Cage51.female.Qa25	10781.Cage58.female.WT18	10781.Cage3.male.WT7
EC:1.1.1.1	3091.45	2926.61	2008	2436.92	2943.83	2513.2	2726.78	3646.58	2741.49	2932.1	2780.58	2214.9	2573.1	3763.18	2175.13	2285.08	2133.42	2306.42	2760.67	2625.38	2665.08	2817.75	3344.8	2823.1	2628.75	3481	2722.28	2103.53	2676.43	3262.5	2810.57	2490.85	2483.5	3279.17	3217.58	3174.1	2665.1	3117.9	2717.9	2690.45	2628.75	2390.25	2572.1	3068.15	2254.02	2415.92	2414.92	2933.25	2755.57	1773.17	2712.75	2367.25	2291.33	2894.26	1919.07	2909.92	2306.85	2864.3	2183.06	2446.15	2377.83	3017.4	1896.5	2623.5	1969	2557.17	2143.47	2672.67	2744.35	2664.1	3462.25	2002.5	2147.33	3260.35	2283.7	3146.33	2556.08	2289.08	2100.5	2327	3284.5	2787.35	1768.75	3044.92	2349.9	2728.92	2619.97	3495.5	2423.1	2262.35	3215.1	2517.4	2358.52	2844.33	2733.2	1949.07	2596.23	2423.72	3076.58	2505.75	2319.1	3157.75	2125.6	3066.51	3038.48	2421.12	2349.5	2196.08	3331.25	2060.13	2822.9	3713.25	2148.23	1842.65	3071.58	2022.4	2947.72	2533.75	2133.9	2167.75	2466.67
EC:1.1.1.100	4517.99	6919.3	3119.34	6391.09	5348.57	3196.95	6126.33	8171.46	8271.34	5832.91	4298.09	2374.91	4468.91	8249.88	5031.56	3656.07	3331.75	3739.59	4977.5	5992.86	4414.43	5132.48	8030.79	2650.75	3686.31	8725.95	3894.76	3514.33	4187.57	7274.66	5393.91	5581.91	5719.82	8142.16	5750.59	6581.09	4482.58	8219.96	7308.18	4816.03	3079.09	3883.41	2419.17	6470.66	2909.27	3809.93	3077.25	6287.41	4368.54	3063.68	3560.75	2844.8	5486.98	3828.94	4142.07	6408.09	5474.6	5464.4	3076.98	3880.94	3772	3257.17	2808.34	4624.04	2719.91	5140.34	3559.48	4267.86	4174.79	4220.65	7586.59	3759.48	2589.16	8321.46	4792.94	6312.32	4187.91	3282.23	2148.66	3916.82	6215.66	4797.17	3741.25	7202.5	4261.29	4617.91	4425.05	6215	2659.07	6032.21	4104.09	5838.12	4078.57	4956.66	2774.49	3112.73	3326.43	4175.31	6872.34	3456.59	5016.45	6041.65	3166.09	6590.18	5855.49	4626.78	6065.5	2957.25	7960.07	4540.94	6335.94	6314.25	3623.46	3159.76	5728.75	3708.57	6257.3	3844.34	2094.03	3843.91	3645.66
EC:1.1.1.103	100.5	426	102	241.67	180.83	63	236.83	597.33	204	219	129.83	14.5	171.5	284.33	292.33	224.33	265.67	33.67	197.17	184.83	184.33	67.5	157.5	8	170.16	332	96.83	301.33	120.33	271	320.17	197	75	220.67	212.33	410.5	160.5	342.5	462.83	69.5	27	186	23.5	203.5	91.17	62.17	55.17	247.5	37.17	98.67	320	45.5	199.33	173.17	139.67	196.17	458	126.5	36.5	237.5	116.33	86	18	67.5	99	261.67	100.67	175.17	243.67	56	517	110	37.33	424	185	296.83	479.83	70.33	2.5	167	174	174	132	149.67	230.5	213.17	188.67	119	97	436	66	187.4	193.67	475.33	23	112	135.33	119.67	60.33	159.5	244	113.5	151	334.12	139.33	163.67	452	128.83	548	258.83	363.5	81.5	121.33	144	278.83	203	186.17	39.5	14	213	55.17
EC:1.1.1.105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC:1.1.1.108	0	0	0	0	1	0	0	1	6	0	0	0	0	0	8	0	0	0	4	0	0	9	5.25	0	29.25	0	0	4.25	0	0	3	8	5	0	0	0	3	0	4	0	15	0	0	0	8	0	0	0	6	0	0	0	0	14	0	0	0	0	30.25	5	0	0	4	0.25	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	36	7	2.5	0	2	0	0	0	0	0	29.5	2	0	0	11	0	0	3	0	0	9	8	13	11.25	2	0	0	0	0	0	0	0	16	0	0	0	12	0	0	11
EC:1.1.1.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0.12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC:1.1.1.122	0	0	0	0	0.25	0	0	0.25	2	0	0	0	0	0	0	0	0	0	0.5	0	0	0.75	0	0	0	0	0	0.5	0	0	5	0.75	0	0	0	1	0	0	0.5	0	0	0	0	0	0.75	0	0	0	0	0	0	0	0	0.25	2	0	0	0	3	0	0	0	0	0	0.25	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5.25	0	0.25	0	0	0	0	0	0	0	2.75	6	0	0	2.25	0.25	0	0.25	0	0	8.75	1.5	0	1	0.25	0	0	0	1	0	0	0	0	0	1	0	2.75	0	0	0
EC:1.1.1.125	15	52	22	29	84.25	9	105.5	133.25	110	80.5	36	0	24	227	68.5	22.5	13	22	24.5	72	71.5	42.25	99.25	0	83.41	158	16.5	50.25	18	213	58.5	48.75	111.5	122.5	138	28	40.5	53	375	28	67	7	4	61	24.25	22	7.5	107	71	19	1.5	14	99	49.25	7	102.5	133	70	100.75	30	26	7	16	50.25	22.75	23.5	12.5	9	14.5	31	47	6	7	840	16	59	4	10	1	17	88	137.75	31.5	119.75	31	32	26	207	19	268	26	155.75	29	85.5	35	64.75	11.25	56	29.25	11	50	122.25	40.5	149.74	94.75	30.25	4	14.5	85.5	234	245	129.5	6	40	54	6	29	52.25	2	17	42
EC:1.1.1.130	3.7	27.1	8	35	35.5	8	58.7	125.5	37	44	20	7.5	19	72	18	27	3	2	26	18.9	22.5	33.5	41.8	0	18.5	59.4	35	6.5	11	29	15.5	23.5	34.5	55.5	27.5	22.5	20.7	46	144.5	8.7	8	6	3.7	107.5	8.5	11	0.5	10	21.7	12	15	6.5	34.5	4.5	2	34	51.7	20	9	7.5	14	2	11	8.9	9	42	7.7	85.5	45.5	33.5	181.5	1	7	335.8	7.2	55	47.5	45.5	1	9	52.5	8	6	39	98.1	106	12.2	66	5	112	19	30	6.5	31.5	13	18	6.5	20.5	19.5	2.5	18	38.5	8	58.12	33.8	7.2	0	25.5	19	92.5	101	33	2	0	46.5	2	22	4	5	23	25.5
EC:1.1.1.132	0	0	0	0	1	0	0	1	7	0	0	0	0	0	8	0	0	0	5	0	0	9	5	0	29	0	0	4	0	0	5	8	5	0	0	0	3	0	4	0	15	0	0	0	8	0	0	0	11	0	0	0	0	14	0	0	0	0	32	5	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	37	7	2	0	2	0	0	0	0	0	30	4	0	0	11	0	0	3	0	0	12	8	13	12	2	0	0	0	0	0	0	0	16	0	0	0	14	0	0	11
