# Constructed from biom file
#OTU ID	10781.Cage22.female.Qa7	10781.Cage50.female.Qa20	10781.Cage16.male.WT26	10781.Cage15.male.WT23	10781.Cage14.male.WT19	10781.Cage51.female.Qa26	10781.Cage14.male.WT17	10781.Cage6.male.WT14	10781.Cage55.male.Qa33	10781.Cage16.male.WT28	10781.Cage6.male.WT13	10781.Cage22.female.Qa9	10781.Cage16.male.WT30	10781.Cage23.female.Qa10	10781.Cage10.male.Qa2	10781.Cage58.female.WT20	10781.Cage1.female.WT1	10781.Cage4.female.WT9	10781.Cage57.female.WT14	10781.Cage2.male.WT5	10781.Cage4.female.WT7	10781.Cage20.male.Qa9	10781.Cage2.male.WT2	10781.Cage22.female.Qa8	10781.Cage6.male.WT12	10781.Cage16.male.WT29	10781.Cage6.male.WT15	10781.Cage14.male.WT16	10781.Cage24.male.Qa15	10781.Cage14.male.WT18	10781.Cage45.male.Qa22	10781.Cage21.male.Qa13	10781.Cage15.male.WT22	10781.Cage15.male.WT25	10781.Cage16.male.WT27	10781.Cage49.female.Qa15	10781.Cage50.female.Qa21	10781.Cage21.male.Qa14	10781.Cage11.male.Qa5	10781.Cage22.female.Qa6	10781.Cage56.female.Qa29	10781.Cage2.male.WT3	10781.Cage56.female.Qa31	10781.Cage20.male.Qa12	10781.Cage47.male.Qa26	10781.Cage4.female.WT6	10781.Cage2.male.WT4	10781.Cage57.female.WT15	10781.Cage4.female.WT8	10781.Cage10.male.Qa4	10781.Cage58.female.WT21	10781.Cage44.female.Qa11	10781.Cage10.male.Qa3	10781.Cage46.female.Qa14	10781.Cage9.female.Qa1	10781.Cage61.male.WT35	10781.Cage48.male.Qa28	10781.Cage14.male.WT20	10781.Cage20.male.Qa11	10781.Cage47.male.Qa25	10781.Cage4.female.WT10	10781.Cage50.female.Qa19	10781.Cage5.female.WT11	10781.Cage43.male.Qa19	10781.Cage57.female.WT16	10781.Cage59.female.WT24	10781.Cage52.male.Qa33	10781.Cage1.female.WT3	10781.Cage1.female.WT4	10781.Cage44.female.Qa12	10781.Cage59.female.WT23	10781.Cage9.female.Qa2	10781.Cage6.male.WT11	10781.Cage11.male.Qa8	10781.Cage49.female.Qa18	10781.Cage3.male.WT6	10781.Cage58.female.WT19	10781.Cage3.male.WT10	10781.Cage51.female.Qa24	10781.Cage24.male.Qa16	10781.Cage17.female.WT13	10781.Cage45.male.Qa21	10781.Cage54.female.Qa28	10781.Cage15.male.WT21	10781.Cage48.male.Qa30	10781.Cage3.male.WT8	10781.Cage49.female.Qa16	10781.Cage60.male.WT33	10781.Cage50.female.Qa22	10781.Cage11.male.Qa6	10781.Cage22.female.Qa5	10781.Cage9.female.Qa3	10781.Cage48.male.Qa27	10781.Cage59.female.WT22	10781.Cage44.female.Qa13	10781.Cage10.male.Qa1	10781.Cage1.female.WT5	10781.Cage1.female.WT2	10781.Cage57.female.WT17	10781.Cage52.male.Qa32	10781.Cage9.female.Qa4	10781.Cage43.male.Qa18	10781.Cage47.male.Qa24	10781.Cage47.male.Qa23	10781.Cage20.male.Qa10	10781.Cage2.male.WT1	10781.Cage48.male.Qa29	10781.Cage61.male.WT34	10781.Cage18.male.WT31	10781.Cage11.male.Qa7	10781.Cage49.female.Qa17	10781.Cage60.male.WT32	10781.Cage50.female.Qa23	10781.Cage53.female.Qa27	10781.Cage3.male.WT9	10781.Cage45.male.Qa20	10781.Cage24.male.Qa17	10781.Cage17.female.WT12	10781.Cage51.female.Qa25	10781.Cage58.female.WT18	10781.Cage3.male.WT7
1CMET2-PWY	2445.1648	3083.4788	1995.2463	3110.0033	2645.8897	2067.4934	2931.3063	3293.493	3625.771	2699.1426	2382.4187	1832.1248	2386.2414	3417.8404	2604.3398	2227.2777	2117.0574	2268.9211	2501.971	2900.2047	2453.8203	2486.924	3414.9259	1928.2958	2177.7155	3473.4485	2275.0433	2144.9649	2319.5733	3152.4521	2715.3091	2717.7418	2804.518	3512.5536	2686.3484	3067.2794	2449.7882	3401.45	3212.997	2458.4009	1983.7144	2323.3508	1881.4865	2846.1636	2067.6667	2256.1116	2055.4802	2864.2688	2441.1214	2068.0572	2146.2281	1955.4074	2644.5693	2235.5239	2469.738	2997.7408	2696.6502	2661.0128	1963.8463	2348.9242	2177.7601	2133.6274	1939.7896	2424.7345	1881.3304	2723.3656	2162.6787	2315.276	2318.3935	2270.3229	3248.0358	2299.653	1930.9544	3132.7124	2736.9613	2856.7487	2324.6173	2103.1293	1776.468	2303.6552	2867.6361	2544.3069	2357.0328	3142.2897	2342.7147	2431.4	2364.0466	2909.4033	1938.0812	2944.5983	2246.2766	2816.2052	2281.3757	2494.3605	1944.7019	1995.7781	2106.717	2356.1689	3075.0245	2141.1464	2591.3993	2762.1203	2103.6122	3035.852	2650.225	2559.1626	2975.1345	1966.938	3192.3151	2450.5649	2862.9048	2867.494	2295.5773	2073.2411	2669.2146	2361.286	2909.9265	2233.2836	1758.8384	2300.1177	2215.3507
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	0.0	0.0	0.0	0.0	1.735	0.0	0.0	1.7235	12.877	0.0	0.0	0.0	0.0	0.0	16.5925	0.0	0.0	0.0	6.76	0.0	0.0	15.155	8.3679	0.0	44.4182	0.0	0.0	8.4591	0.0	0.0	9.3932	13.7346	10.0067	0.0	0.0	0.0	5.1817	0.0	9.5251	0.0	25.1577	0.0	0.0	0.0	12.5622	0.0	0.0	0.0	11.1919	0.0	0.0	0.0	0.0	25.6683	0.0	0.0	0.0	0.0	47.038	8.4588	0.0	0.0	6.5578	0.0	0.0	0.0	5.1168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.9173	0.0	0.0	0.0	0.0	0.0	69.9005	12.791	7.0739	0.0	3.4092	0.0	0.0	0.0	0.0	0.0	50.0312	3.4606	0.0	0.0	18.3675	0.0	0.0	6.7974	0.0	0.0	18.9235	15.4696	30.7166	20.6123	3.4129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.9055	0.0	0.0	0.0	19.8281	0.0	0.0	19.406
ALL-CHORISMATE-PWY	0.0	0.0	0.0	0.0	0.0	0.0	14.9472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.3333	0.0	0.0	45.9251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.3809	0.0	0.0	0.0	0.0	0.0	0.0	43.2884	0.0	5.6871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ANAEROFRUCAT-PWY	2714.0957	2734.6806	1546.266	3091.4163	2372.8182	2123.6818	2508.6007	2847.161	2915.8262	2464.6338	2438.6352	1705.8479	2074.9666	2869.3843	1913.585	2009.6598	1522.2747	2281.7098	2426.2441	2390.6915	2630.2123	2243.0611	2661.3487	2260.6139	2061.774	2802.7911	2268.5972	1435.3992	2286.0171	2791.0267	2308.9716	2276.0321	2642.684	3017.5333	2548.2616	2845.4731	2196.4479	2991.8826	2561.0024	2285.5732	1818.9314	1924.4537	2130.6566	2493.2348	2107.1306	2327.134	1760.4874	2511.4031	2688.0107	838.9087	2134.6986	1798.6438	2264.835	2330.6261	1782.8755	2607.4041	1891.9111	2430.7589	1348.7569	2351.7181	2141.1353	2570.5174	1346.252	2076.256	1279.0093	2226.8385	1675.0924	2143.4665	2328.0285	2068.0864	2675.2452	1809.749	1876.836	2802.4685	2200.4054	2594.3742	1803.7544	2036.0386	1623.501	1920.123	2656.6231	2242.8785	1046.4797	3038.1641	1608.4139	2246.7366	2088.6432	2736.9361	2053.5222	1815.4785	2344.4593	2308.8679	1519.1995	2139.2878	2189.1181	1019.5321	2182.0369	1872.1368	2616.7155	2307.386	2227.3771	2665.5936	1882.6988	3126.4737	2384.5043	2101.9319	1950.6834	1613.8731	2654.4001	1563.5578	2656.2734	2845.138	2044.6879	741.8855	2606.9891	1842.9366	2864.0661	2214.7593	1725.8485	1796.3112	2175.5964
ANAGLYCOLYSIS-PWY	3056.9938	3778.6473	2316.7621	3818.5387	3248.4758	2478.9165	3559.4381	4162.8372	4350.5214	3325.9212	2946.9547	2134.8093	2883.6745	4315.4849	3069.0095	2636.797	2464.5726	2681.0566	3074.8993	3492.6347	3023.0463	3050.2817	4210.9891	2409.6871	2583.5496	4275.394	2792.8062	2492.9613	2860.7755	3949.7651	3298.4055	3250.4263	3442.6397	4407.7218	3362.8532	3824.1046	2974.0385	4196.0006	3906.5306	3033.0256	2299.5259	2753.9286	2325.827	3481.8637	2423.9578	2708.0617	2437.3302	3510.4649	2986.1657	2344.9425	2675.0651	2310.7541	3166.8332	2693.4661	2895.8029	3695.0044	3214.5213	3281.1805	2192.2273	2786.8711	2630.539	2707.1785	2206.1224	2951.93	2154.9133	3284.4467	2519.833	2828.8067	2845.0008	2756.0343	4051.6814	2695.212	2238.9153	3952.8305	3201.3291	3531.3189	2826.934	2518.6007	2029.6048	2729.4412	3564.7256	2965.7484	2650.6895	3952.4124	2775.0083	2963.6082	2868.384	3557.0487	2324.8243	3512.4556	2838.6888	3328.642	2693.335	3073.9363	2410.083	2253.7149	2531.6343	2786.6674	3762.5515	2617.4614	3120.5323	3388.2447	2404.185	3729.5226	3238.0474	3006.4723	3557.8973	2314.4814	3957.5319	2884.3213	3513.7456	3587.0428	2660.0655	2294.1917	3356.5435	2739.4234	3590.9584	2643.6367	2029.6723	2736.1218	2600.0447
ARG+POLYAMINE-SYN	311.8614	243.4937	138.1512	104.3685	127.4341	208.4331	146.3179	239.0445	280.763	309.413	375.3771	108.2611	227.2375	244.7931	180.5187	254.6045	99.4089	232.5488	335.7297	119.4348	242.2218	114.074	266.3053	49.6157	395.4474	180.3307	243.4754	178.8138	276.013	182.5517	381.6757	147.9334	215.6717	120.5066	224.7999	255.2576	249.9018	246.3401	290.0713	286.398	181.781	177.1177	126.9889	114.1774	45.3236	284.0677	168.0592	92.9837	433.2785	28.3338	178.4183	166.8051	122.6649	180.1684	193.1425	247.0495	73.8237	214.1219	150.6302	83.8631	200.9128	139.1362	112.286	186.245	67.3528	264.3034	176.522	133.3859	252.0912	208.641	155.8809	208.9463	190.9456	338.4711	204.0219	228.727	228.2704	218.1875	65.1448	195.6803	174.4329	389.7911	99.7651	156.7025	47.7934	184.2618	236.0307	678.5775	86.8045	98.8821	284.4469	271.0534	180.0449	117.1023	127.1747	128.2482	255.4056	43.2022	165.7369	195.5006	253.0974	449.6581	118.9697	425.2923	179.7063	188.0185	85.3581	175.7395	323.6628	111.6537	333.638	416.0123	189.2047	117.8219	242.926	143.6517	361.6279	166.1829	79.8185	249.1348	320.6389
ARGDEG-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5213	0.0	0.0	0.0	0.0	0.0	0.0	12.1479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.1978	0.0	0.0	0.0	4.2275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5552	15.7708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARGORNPROST-PWY	31.0881	72.2585	37.5842	58.7056	76.7238	53.0645	102.5852	103.9168	130.5361	157.6407	89.3166	6.0364	75.929	128.3783	60.8328	24.5844	21.6636	18.4186	71.5395	131.8204	49.0331	91.5385	158.3214	13.2806	108.6757	153.6628	56.4305	63.2479	38.1917	87.656	103.4302	88.4006	94.8775	117.9654	132.3235	33.2939	82.1112	94.6693	105.6401	87.8404	69.3693	28.395	37.537	66.7924	63.47	31.5033	14.8374	37.2629	65.0307	20.1934	5.5276	39.6636	35.7874	127.6665	26.6663	70.2897	25.9039	98.5966	114.639	59.6582	46.9396	47.3428	30.4399	37.6392	3.6466	37.0191	52.7716	59.9718	25.8491	88.1646	76.9242	13.7409	31.2866	30.7919	31.0272	88.2607	25.1949	9.2636	7.253	44.4452	70.1541	179.919	38.9505	124.8702	25.5695	74.5489	41.8853	160.3745	15.9909	31.6369	18.9239	189.0088	43.5355	21.8266	33.6297	60.2711	12.9481	41.5123	58.1265	34.7429	45.7551	145.963	64.0241	158.3469	90.6492	74.5542	5.3162	24.5532	166.1434	20.3386	73.1228	77.5183	17.6506	62.0595	87.2971	7.378	105.9368	100.2305	24.7313	15.6599	74.1099
ARGSYN-PWY	1687.7997	2283.6623	1257.0171	2893.7837	2147.3188	1239.5113	2520.2069	3026.398	2679.3957	2312.7179	1857.7389	747.0278	1886.9515	2922.9587	1458.7593	1661.2053	1549.2779	1635.1872	1947.0055	2517.5258	1868.2848	1969.6415	3181.1416	741.2437	1621.6656	3259.6292	1706.7346	1582.0474	1584.2188	2852.7768	1827.2761	1926.8667	2391.3346	3269.1718	2272.3988	2093.7379	1529.2143	2731.2692	2066.4284	1949.4893	1174.8899	1822.8257	653.0224	2425.6293	695.252	1588.1771	1388.7186	2390.8338	1844.045	730.4999	1569.7914	1020.1684	1767.9695	1375.0608	943.4202	2539.2395	1432.6791	2216.5564	1071.8755	1013.9379	1597.2317	1081.4181	1100.2944	1809.9407	1012.7097	2270.0103	1160.604	1801.1011	1789.0549	1678.8475	2815.6278	962.5484	1127.3011	2658.06	977.2156	2457.0616	1903.6104	1449.0821	581.2779	1252.1259	2419.4821	1510.5635	607.0384	2880.5399	1499.3765	1973.1271	1449.907	2338.8626	654.3218	1388.2198	1577.8685	1883.1154	1420.5252	1983.1827	898.0617	924.6038	1457.1824	1806.2893	2612.339	1015.8572	1572.2528	2276.258	647.6068	1974.1014	2178.8219	2095.9367	1592.7873	1212.9435	2874.7141	1175.4474	1921.5493	2292.5633	910.7361	683.9601	2282.216	871.0432	2273.9957	1580.1188	469.3438	1788.2326	1627.9743
ARGSYNBSUB-PWY	1573.9919	2211.0924	1024.565	2868.7368	1878.4016	1031.1211	2234.9519	2983.5449	2571.2448	2255.4969	1640.6127	460.5145	1795.393	2945.8737	1285.5656	1465.4702	1339.465	1327.6909	1798.9103	2237.2626	1680.2289	1863.538	3098.2704	405.4625	1463.8272	3230.5436	1472.1469	1472.4249	1430.8581	2792.9992	1587.8713	1855.382	2144.7188	3132.5574	2205.9238	2044.1659	1383.5466	2716.8685	1787.147	1755.5325	932.6119	1502.2839	488.6245	2369.2559	424.3008	1338.6315	1045.6789	2309.6271	1563.4373	572.7567	1435.9294	768.8316	1688.1653	1209.8904	779.462	2386.8062	1247.9921	2117.3545	886.342	745.2033	1380.372	816.6697	804.725	1668.8616	754.2188	1780.2481	962.1346	1520.5322	1542.0121	1499.8031	2677.5003	798.4863	883.3925	2607.6937	755.1378	2360.2962	1858.5554	1182.6909	372.763	999.4922	2306.6479	1294.3841	435.7455	2819.4145	1336.6194	1727.2873	1282.4712	2290.261	512.2862	1121.731	1481.1198	1746.7552	1223.0739	1883.1804	644.1715	762.5632	1154.7006	1429.2171	2509.5882	857.6273	1406.6489	2227.0092	446.2855	1805.1104	2139.0196	1616.0312	1416.8688	982.1992	2839.5931	895.333	1769.2309	2247.2147	678.3411	532.2822	2202.3033	633.5989	2210.8853	1259.1197	318.4292	1431.5596	1349.374
