id	cage_id	collection_timestamp	description	experimental_group	host_age	sex	strain_genotype	strain_vendor	treatment	faith_pd	shannon
10781.Cage1.female.WT1	Cage1	2/10/16 9:00	WT	WT-none	12	female	WT	Jackson	WT-none	12.09088901	0.383765834
10781.Cage1.female.WT2	Cage1	2/10/16 9:00	WT	WT-none	12	female	WT	Jackson	WT-none	12.56498735	0.419602091
10781.Cage1.female.WT3	Cage1	2/10/16 9:00	WT	WT-none	12	female	WT	Jackson	WT-none	14.98305515	0.412545673
10781.Cage1.female.WT4	Cage1	2/10/16 9:00	WT	WT-none	12	female	WT	Jackson	WT-none	14.48810229	0.424999312
10781.Cage1.female.WT5	Cage1	2/10/16 9:00	WT	WT-none	12	female	WT	Jackson	WT-none	11.75667836	0.393798387
10781.Cage10.male.Qa1	Cage10	2/10/16 10:00	Qa-1-/-	Qa-1-/- none	12	male	Qa-1-/-	In-house	Qa-1-/- none	15.31394529	0.530337109
10781.Cage10.male.Qa2	Cage10	2/10/16 10:00	Qa-1-/-	Qa-1-/- none	12	male	Qa-1-/-	In-house	Qa-1-/- none	16.43992409	0.593209447
10781.Cage10.male.Qa3	Cage10	2/10/16 10:00	Qa-1-/-	Qa-1-/- none	12	male	Qa-1-/-	In-house	Qa-1-/- none	15.81426952	0.616473308
10781.Cage10.male.Qa4	Cage10	2/10/16 10:00	Qa-1-/-	Qa-1-/- none	12	male	Qa-1-/-	In-house	Qa-1-/- none	11.16584809	0.581572167
10781.Cage11.male.Qa5	Cage11	2/10/16 10:00	Qa-1-/-	Qa-1-/- none	6	male	Qa-1-/-	In-house	Qa-1-/- none	19.21350703	0.670116285
10781.Cage11.male.Qa6	Cage11	2/10/16 10:00	Qa-1-/-	Qa-1-/- none	6	male	Qa-1-/-	In-house	Qa-1-/- none	14.93343578	0.590859889
10781.Cage11.male.Qa7	Cage11	2/10/16 10:00	Qa-1-/-	Qa-1-/- none	6	male	Qa-1-/-	In-house	Qa-1-/- none	13.78191845	0.567095043
10781.Cage11.male.Qa8	Cage11	2/10/16 10:00	Qa-1-/-	Qa-1-/- none	6	male	Qa-1-/-	In-house	Qa-1-/- none	18.0454558	0.665170045
10781.Cage14.male.WT16	Cage14	2/12/16 9:00	WT	WT-none	17	male	WT	Jackson	WT-none	13.67980191	0.440088516
10781.Cage14.male.WT17	Cage14	2/12/16 9:00	WT	WT-none	17	male	WT	Jackson	WT-none	16.77584001	0.516770351
10781.Cage14.male.WT18	Cage14	2/12/16 9:00	WT	WT-none	17	male	WT	Jackson	WT-none	15.74387214	0.583843479
10781.Cage14.male.WT19	Cage14	2/12/16 9:00	WT	WT-none	17	male	WT	Jackson	WT-none	14.61899319	0.508720403
10781.Cage14.male.WT20	Cage14	2/12/16 9:00	WT	WT-none	17	male	WT	Jackson	WT-none	14.89901443	0.527591563
10781.Cage15.male.WT21	Cage15	2/12/16 9:00	WT	WT-none	17	male	WT	Jackson	WT-none	16.58767734	0.553753018
10781.Cage15.male.WT22	Cage15	2/12/16 9:00	WT	WT-none	17	male	WT	Jackson	WT-none	15.32037004	0.508555422
10781.Cage15.male.WT23	Cage15	2/12/16 9:00	WT	WT-none	17	male	WT	Jackson	WT-none	14.63614211	0.540350326
10781.Cage15.male.WT25	Cage15	2/12/16 9:00	WT	WT-none	17	male	WT	Jackson	WT-none	15.91606958	0.596381821
10781.Cage16.male.WT26	Cage16	2/12/16 9:00	WT	WT-none	17	male	WT	Jackson	WT-none	12.46281724	0.51530425
