#OTU ID	10781.Cage22.female.Qa7	10781.Cage50.female.Qa20	10781.Cage16.male.WT26	10781.Cage15.male.WT23	10781.Cage14.male.WT19	10781.Cage51.female.Qa26	10781.Cage14.male.WT17	10781.Cage6.male.WT14	10781.Cage55.male.Qa33	10781.Cage16.male.WT28	10781.Cage6.male.WT13	10781.Cage22.female.Qa9	10781.Cage16.male.WT30	10781.Cage23.female.Qa10	10781.Cage10.male.Qa2	10781.Cage58.female.WT20	10781.Cage1.female.WT1	10781.Cage4.female.WT9	10781.Cage57.female.WT14	10781.Cage2.male.WT5	10781.Cage4.female.WT7	10781.Cage20.male.Qa9	10781.Cage2.male.WT2	10781.Cage22.female.Qa8	10781.Cage6.male.WT12	10781.Cage16.male.WT29	10781.Cage6.male.WT15	10781.Cage14.male.WT16	10781.Cage24.male.Qa15	10781.Cage14.male.WT18	10781.Cage45.male.Qa22	10781.Cage21.male.Qa13	10781.Cage15.male.WT22	10781.Cage15.male.WT25	10781.Cage16.male.WT27	10781.Cage49.female.Qa15	10781.Cage50.female.Qa21	10781.Cage21.male.Qa14	10781.Cage11.male.Qa5	10781.Cage22.female.Qa6	10781.Cage56.female.Qa29	10781.Cage2.male.WT3	10781.Cage56.female.Qa31	10781.Cage20.male.Qa12	10781.Cage47.male.Qa26	10781.Cage4.female.WT6	10781.Cage2.male.WT4	10781.Cage57.female.WT15	10781.Cage4.female.WT8	10781.Cage10.male.Qa4	10781.Cage58.female.WT21	10781.Cage44.female.Qa11	10781.Cage10.male.Qa3	10781.Cage46.female.Qa14	10781.Cage9.female.Qa1	10781.Cage61.male.WT35	10781.Cage48.male.Qa28	10781.Cage14.male.WT20	10781.Cage20.male.Qa11	10781.Cage47.male.Qa25	10781.Cage4.female.WT10	10781.Cage50.female.Qa19	10781.Cage5.female.WT11	10781.Cage43.male.Qa19	10781.Cage57.female.WT16	10781.Cage59.female.WT24	10781.Cage52.male.Qa33	10781.Cage1.female.WT3	10781.Cage1.female.WT4	10781.Cage44.female.Qa12	10781.Cage59.female.WT23	10781.Cage9.female.Qa2	10781.Cage6.male.WT11	10781.Cage11.male.Qa8	10781.Cage49.female.Qa18	10781.Cage3.male.WT6	10781.Cage58.female.WT19	10781.Cage3.male.WT10	10781.Cage51.female.Qa24	10781.Cage24.male.Qa16	10781.Cage17.female.WT13	10781.Cage45.male.Qa21	10781.Cage54.female.Qa28	10781.Cage15.male.WT21	10781.Cage48.male.Qa30	10781.Cage3.male.WT8	10781.Cage49.female.Qa16	10781.Cage60.male.WT33	10781.Cage50.female.Qa22	10781.Cage11.male.Qa6	10781.Cage22.female.Qa5	10781.Cage9.female.Qa3	10781.Cage48.male.Qa27	10781.Cage59.female.WT22	10781.Cage44.female.Qa13	10781.Cage10.male.Qa1	10781.Cage1.female.WT5	10781.Cage1.female.WT2	10781.Cage57.female.WT17	10781.Cage52.male.Qa32	10781.Cage9.female.Qa4	10781.Cage43.male.Qa18	10781.Cage47.male.Qa24	10781.Cage47.male.Qa23	10781.Cage20.male.Qa10	10781.Cage2.male.WT1	10781.Cage48.male.Qa29	10781.Cage61.male.WT34	10781.Cage18.male.WT31	10781.Cage11.male.Qa7	10781.Cage49.female.Qa17	10781.Cage60.male.WT32	10781.Cage50.female.Qa23	10781.Cage53.female.Qa27	10781.Cage3.male.WT9	10781.Cage45.male.Qa20	10781.Cage24.male.Qa17	10781.Cage17.female.WT12	10781.Cage51.female.Qa25	10781.Cage58.female.WT18	10781.Cage3.male.WT7
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0.0	0.0	0.0	20.0	9.0	0.0	13.0	5.0	0.0	0.0	36.0	0.0	4.0	0.0	0.0	9.0	1.0	21.0	9.0	2.0	12.0	0.0	1.0	0.0	17.0	2.0	28.0	2.0	38.0	14.0	18.0	0.0	10.0	6.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	12.0	7.0	1.0	11.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	6.0	0.0	0.0	0.0	1.0	3.0	0.0	3.0	10.0	0.0	0.0	0.0	51.0	0.0	0.0	8.0	1.0	12.0	0.0	30.0	4.0	7.0	0.0	14.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	10.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	25.0	12.0	19.0	0.0	3.0	46.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia	1.0	3.0	2.0	2.0	2.0	4.0	2.0	0.0	2.0	1.0	5.0	0.0	3.0	4.0	3.0	1.0	1.0	1.0	3.0	5.0	3.0	0.0	0.0	5.0	0.0	3.0	0.0	4.0	4.0	2.0	3.0	2.0	4.0	4.0	0.0	6.0	2.0	0.0	1.0	4.0	8.0	5.0	18.0	0.0	1.0	3.0	2.0	0.0	8.0	3.0	1.0	3.0	4.0	17.0	2.0	5.0	1.0	1.0	6.0	12.0	0.0	6.0	8.0	1.0	0.0	4.0	2.0	2.0	6.0	3.0	6.0	5.0	9.0	0.0	8.0	2.0	0.0	3.0	0.0	2.0	1.0	0.0	1.0	4.0	6.0	0.0	5.0	0.0	4.0	0.0	2.0	0.0	7.0	0.0	4.0	4.0	2.0	0.0	0.0	14.0	0.0	5.0	1.0	12.0	1.0	4.0	1.0	3.0	2.0	0.0	9.0	5.0	0.0	0.0	1.0	2.0	2.0	4.0	6.0	1.0	5.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.0	214.0	0.0	0.0	0.0	0.0	2.0	0.0	84.0	0.0	0.0	0.0	0.0	105.0	191.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.0	0.0	207.0	109.0	0.0	0.0	0.0	254.0	118.0	198.0	354.0	0.0	0.0	0.0	0.0	0.0	77.0	0.0	0.0	0.0	1.0	67.0	0.0	0.0	71.0	150.0	110.0	0.0	310.0	0.0	5.0	218.0	0.0	69.0	0.0	0.0	0.0	1.0	72.0	0.0	3.0	0.0	0.0	53.0	0.0	93.0	161.0	0.0	0.0	0.0	0.0	130.0	0.0	134.0	121.0	0.0	84.0	0.0	95.0	0.0	83.0	329.0	0.0	113.0	123.0	0.0	0.0	60.0	0.0	0.0	0.0	115.0	178.0	0.0	139.0	231.0	0.0	0.0	444.0	0.0	0.0	171.0	164.0	0.0	93.0	127.0	0.0	154.0	74.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.0	396.0	0.0	0.0	0.0	0.0	0.0	0.0	713.0	0.0	0.0	0.0	0.0	149.0	412.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	99.0	0.0	266.0	247.0	0.0	0.0	0.0	494.0	263.0	365.0	616.0	1.0	0.0	0.0	0.0	0.0	216.0	0.0	0.0	0.0	0.0	301.0	0.0	0.0	379.0	64.0	683.0	0.0	504.0	0.0	6.0	298.0	0.0	73.0	0.0	0.0	0.0	0.0	178.0	0.0	0.0	0.0	0.0	473.0	0.0	219.0	972.0	0.0	0.0	0.0	0.0	256.0	0.0	302.0	682.0	0.0	181.0	0.0	179.0	0.0	78.0	845.0	0.0	422.0	149.0	0.0	0.0	135.0	0.0	0.0	0.0	133.0	344.0	0.0	308.0	504.0	0.0	0.0	537.0	0.0	0.0	505.0	345.0	0.0	425.0	268.0	0.0	570.0	151.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__	54.0	103.0	93.0	274.0	346.0	104.0	605.0	191.0	429.0	111.0	110.0	21.0	147.0	159.0	41.0	217.0	273.0	169.0	108.0	596.0	222.0	74.0	456.0	0.0	95.0	296.0	90.0	241.0	18.0	385.0	220.0	42.0	471.0	708.0	104.0	44.0	45.0	57.0	220.0	128.0	12.0	383.0	13.0	70.0	58.0	108.0	174.0	198.0	193.0	14.0	100.0	55.0	0.0	44.0	8.0	486.0	11.0	178.0	25.0	39.0	123.0	8.0	138.0	152.0	68.0	768.0	18.0	163.0	205.0	92.0	557.0	5.0	32.0	71.0	30.0	218.0	311.0	62.0	20.0	35.0	231.0	65.0	23.0	271.0	37.0	175.0	15.0	0.0	0.0	79.0	22.0	150.0	45.0	327.0	18.0	20.0	121.0	350.0	304.0	10.0	15.0	57.0	14.0	64.0	26.0	574.0	24.0	70.0	142.0	80.0	114.0	0.0	47.0	17.0	100.0	51.0	134.0	85.0	11.0	448.0	123.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__AF12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__	4857.0	3846.0	5578.0	3515.0	4622.0	5391.0	4213.0	3691.0	3106.0	4397.0	4909.0	5831.0	4823.0	3074.0	4758.0	4819.0	4795.0	5175.0	4760.0	4216.0	4479.0	4863.0	3468.0	5517.0	4979.0	3409.0	5061.0	4742.0	4959.0	3600.0	4455.0	4382.0	4432.0	3412.0	4531.0	3769.0	4856.0	3156.0	3903.0	4871.0	5485.0	4661.0	5575.0	4460.0	5488.0	5135.0	5285.0	4379.0	4891.0	5570.0	4457.0	5602.0	4392.0	4982.0	5009.0	3991.0	4622.0	4472.0	5711.0	5104.0	5074.0	5179.0	5732.0	4961.0	5712.0	4014.0	5364.0	4908.0	4605.0	5111.0	3407.0	5190.0	5648.0	3696.0	4496.0	4258.0	3941.0	5401.0	5924.0	5138.0	4298.0	4822.0	5199.0	3871.0	5101.0	4847.0	4987.0	4302.0	5567.0	4357.0	4891.0	4231.0	5063.0	3960.0	5449.0	5594.0	5058.0	4851.0	4091.0	5193.0	4647.0	4410.0	5469.0	3988.0	4604.0	4673.0	4378.0	5505.0	3927.0	5036.0	4310.0	4467.0	5230.0	5616.0	4411.0	5041.0	3830.0	5221.0	5907.0	4767.0	5252.0
k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
