plate #	biological group	sample name	replicate	unique sample name	DNA input (ng)	normalization factor	Cq	Log10 qPCR DNA quantity 	qPCR DNA quantity (ng)	normalized qPCR DNA quantity (ng)	Akkermancia Gene Copies	Akkermancia Gene Copies Corrected	Akkermancia Muciniphillia Cells	Akkermancia Muciniphillia Corrected Cell Count	qPCR Outlier
Plate1	NTC	1	A	NTC_1_A	0.00	0	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate1	NTC	1	B	NTC_1_B	0.00	0	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate1	NTC	1	C	NTC_1_C	0.00	0	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate2	NTC	2	A	NTC_2_A	0.00	0	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate2	NTC	2	B	NTC_2_B	0.00	0	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate2	NTC	2	C	NTC_2_C	0.00	0	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate3	NTC	3	A	NTC_3_A	0.00	0	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate3	NTC	3	B	NTC_3_B	0.00	0	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate3	NTC	3	C	NTC_3_C	0.00	0	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate4	NTC	4	A	NTC_4_A	0.00	0	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate4	NTC	4	B	NTC_4_B	0.00	0	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate4	NTC	4	C	NTC_4_C	0.00	0	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate5	NTC	5	A	NTC_5_A	0.00	0	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate5	NTC	5	B	NTC_5_B	0.00	0	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate5	NTC	5	C	NTC_5_C	0.00	0	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate6	NTC	6	A	NTC_6_A	0.00	0	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate6	NTC	6	B	NTC_6_B	0.00	0	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate6	NTC	6	C	NTC_6_C	0.00	0	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate3	Qa-1-/-	164	A	Qa-1-/-164_A	7.62	0.76	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate3	Qa-1-/-	164	B	Qa-1-/-164_B	7.62	0.76	3.10	2.60	394.932285	518.2838382	" 335,135,923,296.68 "	1468653755608.98	" 111,711,974,432.23 "	" 489,551,251,869.66 "	 Yes 
Plate3	Qa-1-/-	164	C	Qa-1-/-164_C	7.62	0.76	2.62	2.73	537.490420	705.3680054	" 456,109,452,633.19 "	1998791576829.83	" 152,036,484,211.06 "	" 666,263,858,943.28 "	 Yes 
Plate4	Qa-1-/-	165	A	Qa-1-/-165_A	16.00	1.60	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate4	Qa-1-/-	165	B	Qa-1-/-165_B	16.00	1.60	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate4	Qa-1-/-	165	C	Qa-1-/-165_C	16.00	1.60	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate4	Qa-1-/-	166	A	Qa-1-/-166_A	-	1	34.19	-5.97	0.000001	0.0000011	 699.19 	3064.02	 233.06 	" 1,021.34 "	 No 
Plate4	Qa-1-/-	166	B	Qa-1-/-166_B	-	1	34.71	-6.11	0.000001	0.0000008	 505.26 	2214.19	 168.42 	 738.06 	 No 
Plate4	Qa-1-/-	166	C	Qa-1-/-166_C	-	1	3.04	2.61	411.319470	411.3194704	" 265,969,957,648.58 "	1165550303701.56	" 88,656,652,549.53 "	" 388,516,767,900.52 "	 Yes 
