#OTU ID	10781.Cage2.male.WT4	10781.Cage2.male.WT5	10781.Cage3.male.WT6	10781.Cage1.female.WT1	10781.Cage1.female.WT2	10781.Cage1.female.WT3	10781.Cage1.female.WT4	10781.Cage1.female.WT5	10781.Cage2.male.WT1	10781.Cage2.male.WT2	10781.Cage2.male.WT3	10781.Cage4.female.WT10	10781.Cage5.female.WT11	10781.Cage6.male.WT11	10781.Cage3.male.WT7	10781.Cage3.male.WT8	10781.Cage3.male.WT9	10781.Cage3.male.WT10	10781.Cage4.female.WT6	10781.Cage4.female.WT7	10781.Cage4.female.WT8	10781.Cage4.female.WT9	10781.Cage6.male.WT12	10781.Cage6.male.WT13	10781.Cage6.male.WT14	10781.Cage6.male.WT15	10781.Cage12.male.Ja1	10781.Cage14.male.WT18	10781.Cage14.male.WT19	10781.Cage14.male.WT20	10781.Cage12.male.Ja2	10781.Cage12.male.Ja3	10781.Cage12.male.Ja4	10781.Cage13.male.Ja5	10781.Cage13.male.Ja6	10781.Cage13.male.Ja7	10781.Cage14.male.WT16	10781.Cage14.male.WT17	10781.Cage16.male.WT29	10781.Cage16.male.WT30	10781.Cage17.female.WT12	10781.Cage15.male.WT21	10781.Cage15.male.WT22	10781.Cage15.male.WT23	10781.Cage15.male.WT24	10781.Cage15.male.WT25	10781.Cage16.male.WT26	10781.Cage16.male.WT27	10781.Cage16.male.WT28	10781.Cage17.female.WT13	10781.Cage18.male.WT31	10781.Cage25.female.Ja1	10781.Cage26.female.Ja10	10781.Cage27.male.Ja8	10781.Cage27.male.Ja9	10781.Cage25.female.Ja2	10781.Cage25.female.Ja3	10781.Cage25.female.Ja4	10781.Cage25.female.Ja5	10781.Cage26.female.Ja6	10781.Cage26.female.Ja7	10781.Cage26.female.Ja8	10781.Cage26.female.Ja9	10781.Cage27.male.Ja10	10781.Cage28.male.Ja11	10781.Cage28.male.Ja12	10781.Cage28.male.Ja13	10781.Cage29.male.Ja14	10781.Cage29.male.Ja15	10781.Cage29.male.Ja16	10781.Cage58.female.WT21	10781.Cage59.female.WT22	10781.Cage59.female.WT23	10781.Cage57.female.WT14	10781.Cage57.female.WT15	10781.Cage57.female.WT16	10781.Cage57.female.WT17	10781.Cage58.female.WT18	10781.Cage58.female.WT19	10781.Cage58.female.WT20	10781.Cage59.female.WT24	10781.Cage59.female.WT25	10781.Cage60.male.WT32	10781.Cage60.male.WT33	10781.Cage61.male.WT34	10781.Cage61.male.WT35
648.1112;11.2897	88.86296324	119.8919334	0	699.9577022	652.0272832	1564.769745	456.3507124	187.1745909	0	0	268.9314116	441.063143	347.9099255	275.539846	390.9486402	493.2818248	542.755531	513.8927347	400.5811885	410.8206386	575.4547304	668.2724108	0	0	406.5979262	1075.354456	231.0231018	416.4007391	237.4815922	213.9262319	967.1739951	1159.865962	1232.272682	831.7784121	360.3032674	590.9603726	617.7340402	349.2461353	283.930081	0	391.4245583	263.6313964	329.1082173	0	730.9667645	553.9424624	35.51452915	0	278.0301182	519.6154517	742.4122527	1071.072334	0	153.1496936	122.0895748	494.2896108	513.9038417	959.2101772	0	248.9082209	143.1056963	61.43053142	0	159.874287	340.1596773	428.196006	434.3879932	46.79485766	319.8002624	435.1682316	66.78769092	0	0	0	0	0	0	0	97.03655744	0	61.03304946	0	0	0	138.7936915	287.9351608
667.7929;11.608	113.4514229	301.511549	0	1098.631097	943.3564194	2293.84205	642.1784521	491.7661464	0	0	182.2294055	629.2584704	432.3673048	329.2681071	517.1385702	696.6361266	807.7766408	695.2088045	518.1421519	592.2293986	755.9383529	963.6789534	0	0	268.0084732	1481.935338	305.4558775	540.506055	0	133.1204457	1572.551768	1791.828223	931.9127396	1229.240687	560.4147341	905.0669194	925.7164493	163.301625	191.3665265	2404.375618	581.2864233	365.3444408	267.0671776	1273.587261	907.8703494	751.8409396	93.90085701	0	604.6217242	737.1994103	1106.183556	1476.750784	0	127.6910982	257.0411061	670.9745395	640.3928248	1433.707871	131.8194136	353.0121759	173.407914	124.4652028	0	352.2868051	301.4583036	554.5985627	499.16214	456.0123173	471.3100437	722.7497506	232.602207	114.1339345	88.84579486	167.4195263	0	0	165.6796107	202.4770057	115.8928313	170.7593731	158.3440928	75.94020906	87.82475973	145.2054193	185.6007319	0
687.139;11.9317	191.7871071	218.431133	71.77602044	1248.262721	1093.602269	2460.38543	491.2207979	628.4802774	0	194.4754438	401.3432354	665.8572489	455.8232503	421.6749889	421.1226094	632.8552775	883.1182346	812.9226284	625.1946472	628.5425081	931.2479231	1154.402641	0	0	377.8951832	1579.310175	331.214663	636.0347874	188.0992852	343.6995869	1914.760145	2235.704611	2163.89412	1625.822086	685.1766128	927.8438151	1114.260676	589.4178829	463.1156847	0	608.6593283	407.640062	475.3957559	0	1123.873058	801.5380586	317.4589365	0	632.8668905	788.3849356	1197.877438	1445.654335	0	165.4624018	236.9559572	711.6260375	663.6383457	1762.595187	53.92246509	371.9768746	208.0569437	130.4651423	0	346.684779	427.1496027	555.5091616	545.2183086	474.8634779	487.0669397	700.1386708	73.12411453	0	106.8864056	99.21515275	0	0	0	113.7050426	0	0	64.70254609	0	0	0	121.8116925	288.8755936
665.8056;11.5887	272.4258337	160.7779316	169.5070836	631.9843097	532.5425158	1349.503312	445.3117747	309.4441681	0	0	224.0570267	411.2121656	212.3411623	267.1670643	323.3808991	119.0617307	486.0863398	463.7372861	387.4365493	341.2691507	486.8834388	526.4786988	0	0	383.2175788	850.5209854	220.0791484	439.202485	108.8346294	243.6728595	969.1006951	1187.551478	1029.061155	822.0727291	408.8396287	585.1654733	662.9290703	354.0184229	385.553196	0	0	296.5896028	296.480052	881.7021693	328.6828543	549.271311	133.2784713	0	153.9313877	401.5912544	562.3046411	696.9829825	0	29.04984641	92.82113118	321.9353326	330.8294028	768.0410773	0	191.1294623	103.2338952	65.82019147	0	176.9951401	119.8157371	343.655952	296.884164	94.79764072	232.4622028	342.7654649	96.62908739	67.2057478	98.56539723	53.37848573	0	0	0	70.41528333	67.87697893	0	62.46126765	0	0	0	102.7079917	252.8764577
166.0866;1.1236	64299.05878	53793.85955	43616.70638	55438.35519	41237.28926	27131.18908	58189.38854	80039.04035	66414.6181	72084.52009	49406.92266	36319.27604	80254.28003	49509.92971	53103.37957	55794.36484	45941.66212	61591.73027	43683.43127	62287.46577	49933.11237	54672.5669	43258.7781	81046.80006	43389.25187	42146.99723	48352.88078	26133.16679	32308.25988	28634.12411	33397.59023	16599.82905	18840.28015	23284.05631	31123.31902	36640.16252	19957.76696	50884.64987	17658.70802	0	34316.69579	28819.76645	24872.08475	20831.09748	31436.8847	34729.61324	0	17691.80936	20179.36633	26563.54037	27381.74466	24962.19836	49287.172	43871.79648	38809.63243	48549.99246	32384.30287	20865.53315	43828.99891	65329.2347	52207.9466	58482.25866	37251.85252	49202.03108	43837.1397	35075.4786	49955.28354	35191.58764	55226.63478	0	45703.98787	70480.84002	0	0	0	28037.02081	43498.16503	42714.04023	0	0	0	36976.51103	37995.23505	51129.16564	45236.03243	42976.70133
441.3734;7.5376	12915.08701	10230.17771	51.60865699	27858.58437	12601.88579	22543.80236	11909.86207	11142.11051	5644.509831	1831.542713	10512.44106	10066.89539	7652.17648	4266.097375	6343.938379	16016.64341	15240.18533	14126.55096	10769.43761	5964.337084	6147.106785	12742.47684	7422.240121	3355.934117	8966.906711	12272.18627	3583.731255	14331.34379	2984.661099	3988.84263	11814.22251	10761.99668	26268.92895	7375.081668	10374.19461	16759.84146	14109.75977	14347.51725	8603.42338	0	4138.543029	6482.137534	8493.255257	11698.96425	16953.60495	17217.24162	161.1376176	12095.13905	5864.88035	11443.90183	6299.636614	2968.274324	9424.239952	4600.854157	2889.466754	17796.66338	11998.72793	23058.12364	12309.05881	5904.106816	3772.289895	2562.345491	7469.66577	5942.481968	19580.11556	16708.44725	13017.62632	8098.248086	4749.730979	6961.70492	341.034124	480.9999973	366.7628364	3740.047184	484.3568831	229.0532613	391.6405718	498.0706734	12841.61057	505.6553864	193.3129355	19163.23661	462.6637747	722.9036439	121.4127751	262.5351046
279.0914;3.3619	14644.87351	4266.641257	7396.708578	15649.00557	10300.14619	27598.53627	15844.8401	5496.353594	4351.819972	25743.47509	4572.418021	11984.72244	6836.335877	7156.131312	6723.0226	15773.57978	10555.21076	12608.54297	13580.832	7211.446947	7471.235205	13485.93277	6177.855709	5540.935424	16346.9238	14457.86708	8554.60855	15478.21797	8160.537827	12280.73745	11828.36014	14132.57964	24650.966	8892.710852	9442.122751	15696.89976	15872.17668	7165.128249	15896.76791	254014.6545	8354.511357	9544.400039	8767.885321	127245.4111	15913.24457	15627.09942	4404.234328	9146.807731	10677.01816	12107.88832	9897.46518	18518.3451	13213.81425	4781.704717	8891.431821	12875.20594	8838.891987	26773.36856	13337.95525	4762.072357	4060.597559	3337.383225	4861.571244	6755.272608	12716.56326	10167.8722	11526.52797	9799.995142	5780.947442	7557.174335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
337.2355;5.8572	8664.415947	13319.52419	2015.497474	2288.028753	1766.719368	2168.822537	4857.007338	99.50287484	109.6679588	6035.139785	419.8198166	2091.410366	3702.762228	12807.63973	8605.52282	3131.214614	4303.319935	4270.700656	2126.252839	7996.517013	1627.232423	3479.499073	13566.04302	3110.730688	1147.446315	3564.188133	16514.23831	2699.975811	1124.689881	1365.718417	12580.4583	5810.008243	4982.040655	6835.003126	12164.11425	4305.55866	2351.178345	15585.83039	1201.96847	0	3143.790413	1273.553833	1266.914929	697.0253313	2795.833691	2573.339556	15707.02944	3341.194121	2127.2578	1600.370945	2035.017012	4806.827832	7728.740493	17866.79423	1911.741784	2221.759525	1989.925692	1958.707706	4637.954182	6931.452261	9639.451436	11272.26157	20928.38024	11114.22007	2916.145774	3287.682771	4154.224887	2142.264125	8088.019112	1667.584185	62.68255193	64.68492572	0	117.5626479	0	0	0	0	0	0	0	0	0	0	69.14839356	0
297.2426;5.8607	7498.60546	12966.66376	1230.084703	1859.544957	1319.10037	1836.565927	3601.724126	4394.034452	6830.875911	5018.277109	14611.67501	1451.519391	2918.277977	9129.43914	6826.326562	2386.016472	2644.106144	2832.406946	1553.217988	5676.462878	1120.144062	2589.433763	10287.65874	1788.164375	954.0575159	2512.144125	12274.06438	2101.455874	885.3418421	852.2045177	8822.610287	3892.465134	4149.178401	4307.515817	8737.995038	3319.219101	1725.063292	10825.70281	1051.068207	0	2090.169198	1019.549801	923.1983173	603.7963557	2186.517552	2055.288853	11775.18055	2137.614082	1360.617998	1081.058893	1105.603151	2649.361277	6047.196488	12439.6868	1287.099634	1886.24409	1176.862647	1345.044989	3816.5495	4437.224118	6697.854993	7992.102442	14618.53326	7732.683014	2272.997879	1787.632569	2867.100958	1340.084412	4793.277421	1004.12669	60.6435372	0	0	54.76959376	0	0	0	0	0	0	0	0	0	0	75.25911577	0
281.248;6.9251	7345.419379	13305.4434	834.2897801	2469.828264	648.0132221	1877.187388	3634.364806	5122.25755	6736.268828	6118.256794	15684.58208	832.1734777	3544.596264	8203.600394	7379.336627	2361.911972	1370.401334	2707.25307	2177.876596	7800.986787	629.2117164	2622.830305	9618.674438	1228.140637	1898.083247	1726.679025	14314.39188	1760.627532	872.0403382	888.2615178	14751.26172	6745.499738	7407.964058	6000.713568	13453.83832	4105.877576	2432.097576	17328.17664	1270.90777	0	2466.155652	846.2928681	910.2489721	2386.716853	1624.106628	1468.179324	15871.12817	1487.082616	1061.140795	667.5002199	531.0667946	732.6276831	7854.604227	12411.6514	895.8636946	1991.354679	433.1656995	2888.279881	4905.227626	5729.83769	7212.054793	9700.205676	16680.13081	8137.761874	2116.512806	829.7489538	2894.219147	1832.459737	8358.537007	616.333511	69.36908009	0	0	0	0	71.10032399	0	0	0	0	55.74757431	0	0	0	80.56670395	0
