sample_name	filename	metabolomics_well_position	metabolomics_injection_number	metabolomics_instrument	metabolomics_LC_description	metabolomics_dilution_factor	metabolomics_extraction_solvent	metabolomics_solvent_injected	metabolomics_notes	metabolomics_plate_number	run_prefix	blank_sample
10781.Cage1.female.WT1	C18p_Plate1_BA2_01_10181.mzXML	BA2	10181	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage1.female.WT2	C18p_Plate1_BA3_01_10182.mzXML	BA3	10182	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage1.female.WT3	C18p_Plate1_BA4_01_10183.mzXML	BA4	10183	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage1.female.WT4	C18p_Plate1_BA5_01_10184.mzXML	BA5	10184	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage1.female.WT5	C18p_Plate1_BA6_01_10185.mzXML	BA6	10185	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage10.male.Qa1	C18p_Plate1_BD4_01_10226.mzXML	BD4	10226	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage10.male.Qa2	C18p_Plate1_BD5_01_10227.mzXML	BD5	10227	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage10.male.Qa3	C18p_Plate1_BD6_01_10228.mzXML	BD6	10228	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage10.male.Qa4	C18p_Plate1_BD7_01_10229.mzXML	BD7	10229	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage11.male.Qa5	C18p_Plate1_BD8_01_10230.mzXML	BD8	10230	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage11.male.Qa6	C18p_Plate1_BD9_01_10231.mzXML	BD9	10231	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage11.male.Qa7	C18p_Plate1_BD10_01_10232.mzXML	BD10	10232	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage11.male.Qa8	C18p_Plate1_BD11_01_10233.mzXML	BD11	10233	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage12.male.Ja1	C18p_Plate1_BD12_01_10234.mzXML	BD12	10234	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage12.male.Ja2	C18p_Plate1_BE2_01_10238.mzXML	BE2	10238	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage12.male.Ja3	C18p_Plate1_BE3_01_10239.mzXML	BE3	10239	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage12.male.Ja4	C18p_Plate1_BE4_01_10240.mzXML	BE4	10240	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
